timestamp,symbol,side,qty,price,fees,realized_pnl,balance_after,partial_fill,fill_ratio,leverage,margin_used
2025-06-10T00:00:00,BTC/USD,long,0.01155747,110318.26,0.7650,0.0000,594.04,False,1.00,3,425.00
2025-06-12T00:00:00,BTC/USD,close_long,0.01155747,105704.89,0.7330,-54.0518,539.61,False,1.00,3,425.00
2025-06-21T00:00:00,BTC/USD,short,0.01248223,102145.25,0.7650,0.0000,538.85,False,1.00,3,425.00
2025-06-23T00:00:00,BTC/USD,close_short,0.01248223,105444.81,0.7897,-41.9757,496.93,False,1.00,3,425.00
2025-06-26T00:00:00,BTC/USD,long,0.01191215,107033.57,0.7650,0.0000,496.16,False,1.00,3,425.00
2025-07-03T00:00:00,BTC/USD,close_long,0.01191215,109617.04,0.7835,29.9912,525.89,False,1.00,3,425.00
2025-07-06T00:00:00,BTC/USD,long,0.01166986,109255.78,0.7650,0.0000,525.12,False,1.00,3,425.00
2025-07-10T00:00:00,BTC/USD,close_long,0.01166986,116000.14,0.8122,77.8935,602.83,False,1.00,3,425.00
2025-07-11T00:00:00,BTC/USD,long,0.01084207,117597.43,0.7650,0.0000,602.06,True,0.53,3,425.00
2025-07-22T00:00:00,BTC/USD,close_long,0.01084207,119999.50,0.7806,25.2627,626.27,False,1.00,3,425.00
2025-08-11T00:00:00,BTC/USD,long,0.01073790,118738.32,0.7650,0.0000,625.50,False,1.00,3,425.00
2025-08-13T00:00:00,BTC/USD,close_long,0.01073790,123349.89,0.7947,48.7238,674.19,False,1.00,3,425.00
2025-08-20T00:00:00,BTC/USD,short,0.01115793,114268.51,0.7650,0.0000,673.42,False,1.00,3,425.00
2025-08-25T00:00:00,BTC/USD,close_short,0.01115793,110172.18,0.7376,44.9690,719.55,True,0.77,3,425.00
2025-08-29T00:00:00,BTC/USD,short,0.01176509,108371.47,0.7650,0.0000,718.78,False,1.00,3,425.00
2025-09-03T00:00:00,BTC/USD,close_short,0.01176509,111773.86,0.7890,-40.8184,678.50,False,1.00,3,425.00
2025-09-12T00:00:00,BTC/USD,long,0.01097818,116139.48,0.7650,0.0000,677.74,False,1.00,3,425.00
2025-09-23T00:00:00,BTC/USD,close_long,0.01097818,112021.25,0.7379,-45.9486,629.98,True,0.40,3,425.00
2025-09-25T00:00:00,BTC/USD,short,0.01169303,109039.30,0.7650,0.0000,629.22,False,1.00,3,425.00
2025-09-29T00:00:00,BTC/USD,close_short,0.01169303,114429.96,0.8028,-63.8360,565.45,False,1.00,3,425.00
2025-10-01T00:00:00,BTC/USD,long,0.01074223,118690.46,0.7650,0.0000,564.68,True,0.60,3,425.00
2025-10-03T00:00:00,BTC/USD,close_long,0.01074223,122294.40,0.7882,37.9260,602.77,True,0.54,3,425.00
2025-10-04T00:00:00,BTC/USD,long,0.01040987,122479.88,0.7650,0.0000,602.00,False,1.00,3,425.00
2025-10-10T00:00:00,BTC/USD,close_long,0.01040987,112976.31,0.7056,-99.6366,501.42,False,1.00,3,425.00
2025-10-15T00:00:00,BTC/USD,short,0.01150750,110797.31,0.7650,0.0000,500.65,False,1.00,3,425.00
2025-10-16T00:00:00,BTC/USD,close_short,0.01150750,108234.04,0.7473,28.7495,529.58,False,1.00,3,425.00
2025-10-17T00:00:00,BTC/USD,short,0.01197587,106464.11,0.7650,0.0000,528.81,False,1.00,3,425.00
2025-10-20T00:00:00,BTC/USD,close_short,0.01197587,110605.41,0.7948,-50.3903,478.53,False,1.00,3,425.00
2025-11-03T00:00:00,BTC/USD,short,0.01196520,106559.06,0.7650,0.0000,477.77,True,0.61,3,425.00
2025-11-04T00:00:00,BTC/USD,close_short,0.01196520,101513.53,0.7288,59.6420,537.72,False,1.00,3,425.00
2025-11-05T00:00:00,BTC/USD,short,0.01227464,103872.72,0.7650,0.0000,536.95,False,1.00,3,425.00
