timestamp,open,high,low,close,volume
2023-12-27,2230.94,2393.37,2212.66,2380.34,392451.76
2023-12-28,2380.34,2447.35,2337.42,2345.44,463684.99
2023-12-29,2345.44,2386.68,2256.07,2299.64,355338.55
2023-12-30,2299.64,2322.76,2268.2,2291.65,174599.67
2023-12-31,2291.65,2319.95,2259.29,2281.36,205152.64
2024-01-01,2281.36,2352.66,2265.26,2352.65,174286.19
2024-01-02,2352.65,2432.62,2343.68,2356.28,345621.3
2024-01-03,2356.28,2385.27,2092.33,2210.57,526602.95
2024-01-04,2210.57,2296.81,2203.62,2269.47,322407.35
2024-01-05,2269.47,2277.99,2208.01,2270.21,283754.94
2024-01-06,2270.21,2271.59,2218.09,2241.73,153695.94
2024-01-07,2241.73,2258.2,2207.13,2222.73,164529.0
2024-01-08,2222.73,2360.37,2168.41,2332.66,321740.49
2024-01-09,2332.66,2373.21,2231.3,2344.97,407628.13
2024-01-10,2344.97,2643.46,2341.51,2584.69,759673.12
2024-01-11,2584.69,2690.17,2567.23,2618.71,565520.51
2024-01-12,2618.71,2717.2,2455.87,2522.11,608482.23
2024-01-13,2522.11,2589.5,2497.1,2577.89,309808.72
2024-01-14,2577.89,2578.65,2468.6,2470.94,219094.29
2024-01-15,2470.94,2551.4,2469.25,2510.12,211497.41
2024-01-16,2510.12,2613.41,2498.62,2586.91,260620.37
2024-01-17,2586.91,2592.23,2505.29,2528.09,214487.05
2024-01-18,2528.09,2546.7,2424.13,2468.6,300049.73
2024-01-19,2468.6,2501.85,2412.93,2490.05,301556.02
2024-01-20,2490.05,2490.05,2452.6,2470.31,114757.82
2024-01-21,2470.31,2480.59,2451.91,2455.35,84186.67
2024-01-22,2455.35,2464.27,2302.07,2311.54,382384.29
2024-01-23,2311.54,2349.2,2165.34,2241.32,476808.58
2024-01-24,2241.32,2262.69,2195.63,2234.13,271737.21
2024-01-25,2234.13,2241.03,2170.05,2217.5,242755.56
2024-01-26,2217.5,2281.01,2194.89,2267.33,281209.33
2024-01-27,2267.33,2282.56,2251.19,2267.97,121435.42
2024-01-28,2267.97,2307.73,2239.84,2256.6,165618.01
2024-01-29,2256.6,2322.48,2233.69,2317.51,215146.92
2024-01-30,2317.51,2391.57,2297.16,2343.1,279970.77
2024-01-31,2343.1,2351.47,2263.16,2281.77,268083.72
2024-02-01,2281.77,2310.4,2239.78,2303.34,217264.4
2024-02-02,2303.34,2323.08,2280.8,2307.85,191680.68
2024-02-03,2307.85,2328.23,2292.31,2295.87,96227.34
2024-02-04,2295.87,2309.1,2267.59,2288.68,142393.17
2024-02-05,2288.68,2335.71,2268.15,2299.16,198435.62
2024-02-06,2299.16,2392.04,2296.27,2372.2,306229.12
2024-02-07,2372.2,2473.23,2353.16,2424.33,272427.16
2024-02-08,2424.33,2462.14,2411.45,2419.79,348490.6
2024-02-09,2419.79,2523.95,2419.06,2487.62,403815.63
2024-02-10,2487.62,2517.14,2473.58,2500.87,150601.42
2024-02-11,2500.87,2540.37,2494.72,2507.91,167579.98
2024-02-12,2507.91,2666.3,2472.79,2660.56,323858.15
2024-02-13,2660.56,2686.7,2591.27,2641.6,387685.63
2024-02-14,2641.6,2788.42,2619.8,2777.51,359500.08
2024-02-15,2777.51,2867.69,2762.64,2825.35,397615.65
2024-02-16,2825.35,2859.47,2744.76,2804.05,318932.07
2024-02-17,2804.05,2806.14,2720.42,2787.0,165464.46
2024-02-18,2787.0,2895.47,2766.78,2881.4,216262.87
2024-02-19,2881.4,2984.2,2857.64,2945.0,326638.19
2024-02-20,2945.0,3032.5,2874.59,3015.27,436622.68
2024-02-21,3015.27,3017.25,2869.15,2968.67,416859.98
2024-02-22,2968.67,3035.27,2906.44,2969.67,398857.68
2024-02-23,2969.67,2991.73,2906.28,2922.1,269457.9
2024-02-24,2922.1,3005.45,2906.62,2992.35,145003.03
2024-02-25,2992.35,3119.66,2983.68,3112.81,265770.75
2024-02-26,3112.81,3197.66,3037.24,3178.24,375179.84
2024-02-27,3178.24,3288.82,3167.46,3243.69,373964.99
2024-02-28,3243.69,3490.66,3194.42,3386.34,513048.44
2024-02-29,3386.34,3520.76,3303.6,3342.24,399274.29
2024-03-01,3342.24,3453.77,3340.92,3435.9,241624.87
2024-03-02,3435.9,3461.78,3398.38,3423.65,153210.01
2024-03-03,3423.65,3493.25,3365.52,3489.57,174122.89
2024-03-04,3489.57,3643.81,3436.14,3631.85,379175.59
2024-03-05,3631.85,3826.7,3207.51,3557.93,732190.67
2024-03-06,3557.93,3902.17,3502.64,3821.19,489295.58
2024-03-07,3821.19,3939.52,3737.47,3874.46,295685.4
2024-03-08,3874.46,4000.14,3828.33,3891.97,359382.61
2024-03-09,3891.97,3950.61,3880.22,3913.28,138310.17
2024-03-10,3913.28,3971.32,3799.55,3881.86,190112.26
2024-03-11,3881.86,4091.01,3752.31,4065.75,374497.81
2024-03-12,4065.75,4092.73,3832.09,3979.43,383635.95
2024-03-13,3979.43,4083.88,3934.38,4007.46,286962.91
2024-03-14,4007.46,4012.91,3719.25,3880.8,376891.87
2024-03-15,3880.8,3931.65,3567.56,3742.44,487205.54
2024-03-16,3742.44,3780.95,3467.22,3520.08,287100.39
2024-03-17,3520.08,3676.55,3411.95,3641.61,273465.18
2024-03-18,3641.61,3642.66,3454.26,3520.31,301558.82
2024-03-19,3520.31,3547.15,3149.03,3158.44,587955.64
2024-03-20,3158.44,3535.92,3057.97,3516.66,658543.95
2024-03-21,3516.66,3586.77,3411.44,3492.08,401675.9
2024-03-22,3492.08,3542.29,3250.83,3337.08,405182.37
2024-03-23,3337.08,3435.43,3271.78,3330.49,251602.31
2024-03-24,3330.49,3470.85,3300.55,3454.45,207564.45
2024-03-25,3454.45,3659.32,3420.9,3590.96,347674.26
2024-03-26,3590.96,3680.41,3544.7,3587.6,302556.21
2024-03-27,3587.6,3665.39,3459.06,3499.77,330442.76
2024-03-28,3499.77,3611.7,3462.9,3561.1,279078.37
2024-03-29,3561.1,3584.55,3474.1,3511.49,201382.16
2024-03-30,3511.49,3567.15,3488.56,3507.56,153144.16
2024-03-31,3507.56,3654.87,3506.31,3645.98,157210.73
