timestamp,open,high,low,close,volume
2023-12-27,42517.32,43694.83,42121.77,43469.34,27420.29
2023-12-28,43469.34,43817.61,42283.91,42588.94,29112.04
2023-12-29,42588.94,43134.59,41296.86,42073.59,34268.41
2023-12-30,42073.59,42595.81,41529.95,42146.03,21511.57
2023-12-31,42146.03,42863.11,41970.37,42280.14,21509.24
2024-01-01,42280.14,44210.89,42187.32,44197.61,19499.59
2024-01-02,44197.61,45918.98,44181.86,44970.34,57443.36
2024-01-03,44970.34,45513.73,40214.67,42854.08,82056.19
2024-01-04,42854.08,44797.03,42657.44,44194.38,49538.94
2024-01-05,44194.38,44377.15,42508.08,44178.89,54169.3
2024-01-06,44178.89,44248.4,43444.9,43988.33,16352.13
2024-01-07,43988.33,44496.47,43639.57,43950.84,20056.41
2024-01-08,43950.84,47295.94,43209.8,46988.14,66057.64
2024-01-09,46988.14,47923.17,44889.64,46123.0,66281.93
2024-01-10,46123.0,47705.84,44326.32,46667.48,80226.64
2024-01-11,46667.48,49054.05,45580.11,46353.15,77548.89
2024-01-12,46353.15,46512.17,41454.57,42776.42,87031.78
2024-01-13,42776.42,43243.47,42438.36,42839.19,23024.72
2024-01-14,42839.19,43060.49,41702.53,41704.39,21730.6
2024-01-15,41704.39,43325.88,41687.69,42491.26,24561.1
2024-01-16,42491.26,43562.19,42047.82,43130.88,36429.24
2024-01-17,43130.88,43183.19,42172.64,42739.27,32911.24
2024-01-18,42739.27,42876.35,40606.86,41286.68,45180.42
2024-01-19,41286.68,42151.57,40246.58,41625.47,45191.13
2024-01-20,41625.47,41846.45,41433.27,41677.08,13096.14
2024-01-21,41677.08,41862.83,41493.59,41570.17,9176.94
2024-01-22,41570.17,41669.9,39396.81,39523.63,56109.4
2024-01-23,39523.63,40136.09,38512.34,39876.44,46007.49
2024-01-24,39876.44,40526.25,39429.31,40078.62,37009.85
2024-01-25,40078.62,40280.91,39523.94,39941.74,29183.88
2024-01-26,39941.74,42227.71,39814.87,41816.55,42739.48
2024-01-27,41816.55,42191.83,41393.22,42124.02,10632.46
2024-01-28,42124.02,42822.8,41632.18,42028.92,16615.66
2024-01-29,42028.92,43308.42,41804.05,43302.28,27783.74
2024-01-30,43302.28,43855.77,42690.4,42943.64,34500.06
2024-01-31,42943.64,43734.38,42276.82,42555.08,39491.24
2024-02-01,42555.08,43267.39,41855.88,43073.2,29018.49
2024-02-02,43073.2,43452.76,42536.21,43181.71,26779.09
2024-02-03,43181.71,43355.76,42874.37,42999.52,7556.6
2024-02-04,42999.52,43093.79,42232.02,42570.21,9589.32
2024-02-05,42570.21,43518.7,41931.59,42664.56,24867.17
2024-02-06,42664.56,43360.05,42526.92,43091.51,22482.95
2024-02-07,43091.51,44402.0,42766.8,44339.04,30331.77
2024-02-08,44339.04,45622.13,44333.87,45304.61,39654.68
2024-02-09,45304.61,48208.27,45257.22,47154.23,50590.41
2024-02-10,47154.23,48166.14,46894.61,47768.12,16452.46
2024-02-11,47768.12,48597.46,47592.04,48311.16,19858.95
2024-02-12,48311.16,50339.2,47718.59,49942.97,47112.86
2024-02-13,49942.97,50392.92,48336.83,49733.11,42027.05
2024-02-14,49733.11,52085.66,49272.58,51844.19,43948.58
2024-02-15,51844.19,52845.45,51357.81,51934.57,42990.13
2024-02-16,51934.57,52598.05,51604.88,52163.28,32295.2
2024-02-17,52163.28,52201.89,50647.34,51668.78,17696.94
2024-02-18,51668.78,52393.59,51194.3,52139.33,14716.3
2024-02-19,52139.33,52487.6,51691.25,51781.22,18980.36
2024-02-20,51781.22,52985.95,50766.77,52269.59,39504.32
2024-02-21,52269.59,52375.42,50633.49,51854.36,32665.42
2024-02-22,51854.36,52056.01,50914.97,51263.67,30501.44
2024-02-23,51263.67,51509.58,50523.07,50744.07,26365.93
2024-02-24,50744.07,51687.88,50583.66,51574.61,10707.22
2024-02-25,51574.61,51957.87,51288.57,51727.63,12394.68
2024-02-26,51727.63,54939.87,50920.53,54518.58,47961.27
2024-02-27,54518.58,57612.94,54483.19,57071.6,62683.92
2024-02-28,57071.6,64086.08,56726.31,62507.1,102181.72
2024-02-29,62507.1,63652.76,60370.98,61179.58,84709.08
2024-03-01,61179.58,63226.77,60795.21,62431.25,52747.33
2024-03-02,62431.25,62479.07,61631.05,62038.39,20264.53
2024-03-03,62038.39,63254.84,61392.4,63149.43,20301.48
2024-03-04,63149.43,68562.03,62363.97,68338.64,79177.16
2024-03-05,68338.64,69244.55,59268.68,63804.11,126873.13
2024-03-06,63804.11,67645.97,62851.27,66115.57,68031.77
2024-03-07,66115.57,68065.89,65610.94,66928.15,41800.64
2024-03-08,66928.15,70151.23,66173.73,68269.39,59361.92
2024-03-09,68269.39,68663.92,68026.81,68446.32,16947.1
2024-03-10,68446.32,69976.84,68218.19,69023.53,27686.99
2024-03-11,69023.53,72872.77,67170.42,72095.86,62709.74
2024-03-12,72095.86,72996.99,68636.43,71449.5,58546.01
2024-03-13,71449.5,73672.14,71329.7,73118.09,41314.41
2024-03-14,73118.09,73802.64,68493.91,71366.96,60699.01
2024-03-15,71366.96,72394.97,65579.78,69497.39,73358.94
2024-03-16,69497.39,70043.23,64783.87,65260.55,33956.52
2024-03-17,65260.55,68873.88,64529.3,68364.45,29362.49
2024-03-18,68364.45,68925.18,66584.49,67609.44,38542.52
2024-03-19,67609.44,68116.53,61529.15,61924.02,75848.91
2024-03-20,61924.02,68139.33,60782.8,67857.3,69671.19
2024-03-21,67857.3,68229.38,64548.09,65493.22,38234.75
2024-03-22,65493.22,66643.64,62321.3,63816.99,37343.35
2024-03-23,63816.99,66005.71,63025.99,64004.42,19360.47
2024-03-24,64004.42,67623.78,63802.82,67208.33,19120.87
2024-03-25,67208.33,71202.65,66400.46,69892.26,46100.6
2024-03-26,69892.26,71558.85,69294.69,69990.22,32990.33
2024-03-27,69990.22,71762.06,68384.71,69434.46,40450.72
2024-03-28,69434.46,71593.93,68864.89,70789.57,31346.01
2024-03-29,70789.57,70925.04,69059.03,69903.72,17382.89
2024-03-30,69903.72,70356.07,69586.01,69629.99,7371.14
2024-03-31,69629.99,71389.78,69601.39,71312.91,10567.65
2024-04-01,71312.91,71325.61,68074.92,69686.37,28892.19
2024-04-02,69686.37,69703.1,64571.71,65466.81,48905.67
2024-04-03,65466.81,66925.93,64514.87,65986.11,27792.87
2024-04-04,65986.11,69343.32,65081.42,68523.79,36673.5
2024-04-05,68523.79,68772.34,65994.65,67860.53,32904.8
2024-04-06,67860.53,69672.09,67483.82,68913.79,11314.76
2024-04-07,68913.79,70303.08,68877.35,69357.32,13691.75
2024-04-08,69357.32,72750.51,69064.41,71629.36,36459.33
2024-04-09,71629.36,71748.92,68213.24,69129.48,34538.71
2024-04-10,69129.48,71150.5,67480.7,70628.54,37142.44
2024-04-11,70628.54,71297.81,69558.05,70026.43,24988.45
2024-04-12,70026.43,71246.69,65257.57,67158.3,49331.17
2024-04-13,67158.3,68422.6,61079.47,64021.36,56915.71
2024-04-14,64021.36,65874.88,62229.8,65765.64,40968.04
2024-04-15,65765.64,66902.94,62328.07,63447.27,40978.19
2024-04-16,63447.27,64385.46,61667.72,63824.7,35542.55
2024-04-17,63824.7,64503.77,59682.79,61283.74,41504.19
2024-04-18,61283.74,64181.25,60829.27,63511.2,31452.84
2024-04-19,63511.2,65491.94,59607.49,63848.26,46058.39
2024-04-20,63848.26,65453.07,63140.68,64979.21,13464.03
2024-04-21,64979.21,65724.22,64271.77,64955.82,13150.64
2024-04-22,64955.82,67257.68,64536.42,66854.24,22839.75
2024-04-23,66854.24,67211.15,65835.93,66415.06,17575.6
2024-04-24,66415.06,67067.52,63556.97,64263.95,28785.93
2024-04-25,64263.95,65279.7,62759.65,64488.49,26730.52
