timestamp,symbol,side,qty,price,fees,realized_pnl,balance_after,partial_fill,fill_ratio
2025-12-09T01:00:00,ETH/USD,buy,0.01447897,3108.58,0.0720,0.0000,4.92,False,1.00
2025-12-09T03:00:00,ETH/USD,sell,0.00529099,3127.52,0.0265,0.0738,21.44,True,0.37
2025-12-09T07:00:00,ETH/USD,sell,0.00918797,3121.24,0.0459,0.0705,50.07,False,1.00
